,название,цена,год,модель,пробег,тип двигателя,объем двигателя,коробка передач,кузов,привод,л.с,состаяние
227,lexus,910000,2003,gx,150000,бензин,4.7,at,внедорожник,полный,235,не битый
228,infiniti,2099000,2012,qx56,112900,бензин,5.6,at,внедорожник,полный,405,не битый
229,mazda,280000,2001,mpv,234000,бензин,2.0,at,минивэн,передний,135,не битый
230,ваз,140000,2009,2114 samara,126300,бензин,1.6,mt,хетчбэк,передний,81,не битый
231,газ,285000,2010,ель 2705,180000,бензин,2.7,mt,фургон,задний,107,не битый
232,ford,515000,2015,fiesta,145000,бензин,1.6,amt,седан,передний,120,не битый
233,toyota,777000,2013,corolla,129000,бензин,1.6,cvt,седан,передний,122,не битый
234,газ,370000,2008,соболь 2752,50000,бензин,2.5,mt,фургон,полный,140,не битый
235,mitsubishi,1250000,2014,outlander,125000,бензин,2.4,cvt,внедорожник,полный,167,не битый
236,lifan,360000,2015,solano,80000,бензин,1.6,mt,седан,передний,106,не битый
237,ваз,57500,1997,2106,150000,бензин,1.6,mt,седан,задний,74,не битый
238,ваз,95000,2008,2113 samara,202000,бензин,1.6,mt,хетчбэк,передний,81,не битый
239,nissan,120000,1991,terrano,210000,дизель,2.7,at,внедорожник,полный,100,не битый
240,toyota,470000,2003,premio,298000,бензин,1.8,at,седан,передний,132,не битый
241,ford,525000,2012,focus,92500,бензин,2.0,amt,универсал,передний,150,не битый
242,toyota,320000,1998,ipsum,230000,бензин,2.0,at,минивэн,передний,135,не битый
243,chevrolet,480000,2007,captiva,220000,бензин,3.2,at,внедорожник,полный,230,не битый
244,mazda,285000,2003,6,185000,бензин,2.3,at,седан,передний,166,не битый
245,honda,330000,1997,cr-v,230000,бензин,2.0,at,внедорожник,полный,128,не битый
246,уаз,185555,2006,patriot,200000,бензин,2.7,mt,внедорожник,полный,128,не битый
247,nissan,1450000,2010,patrol,120000,бензин,5.6,at,внедорожник,полный,405,не битый
248,honda,400000,2004,stream,190000,бензин,2.0,cvt,минивэн,передний,156,не битый
249,kia,1050000,2010,sorento,163000,бензин,2.4,at,внедорожник,полный,175,не битый
250,mercedes,540000,2004,-benz clk-класс,255000,бензин,2.6,at,купе,задний,170,не битый
251,mercedes,2290000,2016,-benz e-класс,45000,бензин,2.0,at,седан,задний,184,не битый
252,ваз,50000,1984,2102,50000,бензин,1.3,mt,универсал,задний,69,не битый
253,газ,90000,2000,ель 3221,100000,бензин,2.4,mt,микроавтобус,задний,100,не битый
254,ваз,105000,2007,1111 ока,113000,бензин,1.0,mt,хетчбэк,передний,53,не битый
255,daewoo,115000,1999,leganza,287276,бензин,2.0,mt,седан,передний,105,не битый
256,toyota,260000,1996,mark ii,354000,бензин,2.5,at,седан,полный,180,не битый
257,chery,350000,2011,tiggo (t11),200000,бензин,1.8,mt,внедорожник,передний,132,не битый
258,bmw,270000,1992,3 серия,350000,бензин,1.8,mt,купе,задний,140,не битый
259,bmw,65000,1985,5 серия,165000,бензин,1.8,mt,седан,задний,105,не битый
260,ваз,170000,2010,2107,35000,бензин,1.5,mt,седан,задний,72,не битый
261,toyota,530000,2007,avensis,284322,бензин,2.0,at,универсал,передний,147,не битый
262,mazda,124200,2001,demio,200000,бензин,1.3,at,хетчбэк,передний,83,не битый
263,subaru,519000,2006,forester,260000,бензин,2.0,at,внедорожник,полный,158,не битый
264,mitsubishi,218000,2001,dion,299000,бензин,2.0,at,минивэн,передний,135,не битый
265,уаз,150000,1993,2206,73550,бензин,2.4,mt,микроавтобус,полный,92,не битый
266,infiniti,1050000,2008,fx35,154000,бензин,3.5,at,внедорожник,полный,307,не битый
267,nissan,900000,2008,x-trail,168000,бензин,2.5,cvt,внедорожник,полный,169,не битый
268,toyota,145000,1993,corona exiv,270000,бензин,1.8,at,седан,передний,125,не битый
269,toyota,220000,1994,cresta,39943,бензин,2.0,at,седан,задний,135,не битый
270,kia,440000,2008,cee'd,207000,бензин,2.0,at,универсал,передний,143,не битый
271,toyota,95000,1989,corolla levin,280000,бензин,1.6,at,купе,передний,140,не битый
272,nissan,149000,2001,sunny,303000,бензин,1.5,at,седан,передний,105,не битый
273,renault,465000,2012,sandero stepway,158000,бензин,1.6,at,хетчбэк,передний,103,не битый
274,mazda,494000,2008,cx-7,147000,бензин,2.3,at,внедорожник,полный,238,не битый
275,nissan,189000,2002,march,177000,бензин,1.2,at,хетчбэк,передний,90,не битый
276,citroen,780000,2012,jumper,556490,дизель,2.2,mt,микроавтобус,передний,130,не битый
277,suzuki,127000,1999,baleno,320000,бензин,1.6,at,седан,передний,96,не битый
278,nissan,225000,2002,primera,270000,бензин,1.8,at,седан,передний,125,не битый
279,ford,380000,2010,focus,161000,бензин,1.4,mt,седан,передний,80,не битый
280,lada,430000,2016,largus,45000,бензин,1.6,mt,фургон,передний,87,не битый
281,daewoo,115000,2007,matiz,96000,бензин,0.8,mt,хетчбэк,передний,50,не битый
